id;latitud;longitud;nombre;variable;unidades;subcuenca;estado;datoActual;datoTotal;municipioNombre;estadoInt;estadoInternal
465;40.09805186737035;-0.21770130872374774;Embalse Alcora;1E02EVI1MVVR;Hm³;0;ESTADO_ROJO;1.195;1.37;Alcora;3;ESTADO_ROJO
472;40.36390608068979;-1.2037935733151708;Embalse Arquillo de San Blas;3E01EVI1MVVR;Hm³;6;ESTADO_ROJO;18.155;21.03;Teruel;3;ESTADO_ROJO
479;39.340519137864625;-0.864839281178875;Embalse Forata;7E03EVI1MVVR;Hm³;4;ESTADO_ROJO;27.55;37.34;Yátova;3;ESTADO_ROJO
473;40.210403800832474;-1.9221064170223807;Embalse La Toba;4E01EVI1MVVR;Hm³;7;ESTADO_ROJO;7.298;9.7;Uña;3;ESTADO_ROJO
537;40.02831006361723;-0.16264413176125375;Embalse María Cristina;1E06EVI1MVVR;Hm³;0;ESTADO_ROJO;19.554;18.45;Castelló;3;ESTADO_ROJO
474;39.564429036756714;-2.111872277747394;Embalse Alarcón;4E02EVI1MVVR;Hm³;7;ESTADO_AMARILLO;624.788;1118.0;Alarcón;2;ESTADO_AMARILLO
475;39.72664884960761;-1.1000284129069342;Embalse Benagéber;6E01EVI1MVVR;Hm³;6;ESTADO_AMARILLO;101.285;221.34;Benagéber;2;ESTADO_AMARILLO
489;39.54292031455318;-1.502474167566448;Embalse Contreras;5E01EVI1MVVR;Hm³;7;ESTADO_AMARILLO;200.602;360.75;Villargordo del Cabriel;2;ESTADO_AMARILLO
538;40.01055993381018;-0.2331501310859164;Embalse de Sitjar;1E05EVI1MVVR;Hm³;0;ESTADO_AMARILLO;28.428;49.29;Onda;2;ESTADO_AMARILLO
540;39.936632752473066;-0.3310813134745464;Embalse Onda;1E04EVI1MVVR;Hm³;0;ESTADO_AMARILLO;0.36;1.0;Alcudia de Veo;2;ESTADO_AMARILLO
541;39.88952086496172;-0.5242283952395271;Embalse Regajo;0E01EVI1MVVR;Hm³;11;ESTADO_AMARILLO;3.119;5.97;Jérica;2;ESTADO_AMARILLO
464;40.67073320343085;0.23314239924602406;Embalse Ulldecona;1E01EVI1MVVR;Hm³;8;ESTADO_AMARILLO;6.387;10.94;La Pobla de Benifassà;2;ESTADO_AMARILLO
539;40.087381305170105;-0.5583163556780842;Embalse Arenós;2E02EVI1MVVR;Hm³;0;ESTADO_VERDE;32.025;136.94;Montanejos;1;ESTADO_VERDE
491;38.53380121840815;-0.26448546167006554;Embalse de Amadorio;8E01EVI1MVVR;Hm³;10;ESTADO_VERDE;1.61;15.83;Vila Joiosa;1;ESTADO_VERDE
482;38.93974814177001;-0.4773599044303486;Embalse de Bellús;7E10EVI1MVVR;Hm³;4;ESTADO_VERDE;12.604;69.19;Bellús;1;ESTADO_VERDE
492;38.81341598695306;-0.354458667901484;Embalse de Beniarrés;9E01EVI1MVVR;Hm³;3;ESTADO_VERDE;3.383;27.0;Beniarrés;1;ESTADO_VERDE
